Song,Artist,ArtistCount,ReleasedYear,NumSpotifyPlaylists,Streams,BPM,Key,Mode
Overdrive,Post Malone,1,2023,410,14780425,140,C#,Major
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,24094,2808096550,90,D,Major
Perfect,Ed Sheeran,1,2017,16596,2559529074,95,G#,Major
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,15032,2355719893,115,E,Minor
Shape of You,Ed Sheeran,1,2017,32181,3562543890,96,C#,Minor
